     hat_id      | ndet  |                           full_lc_fpath
 HAT-061-0000501 |   187 | 061/HAT-061-0000501-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0000934 |   432 | 061/HAT-061-0000934-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0001274 |   187 | 061/HAT-061-0001274-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0002589 | 23935 | 061/HAT-061-0002589-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0002638 |     1 | 061/HAT-061-0002638-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0002772 | 23956 | 061/HAT-061-0002772-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0008002 | 23955 | 061/HAT-061-0008002-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0009040 |     1 | 061/HAT-061-0009040-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0311253 |   187 | 061/HAT-061-0311253-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000001 | 23955 | 062/HAT-062-0000001-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000003 |  5740 | 062/HAT-062-0000003-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000004 |     1 | 062/HAT-062-0000004-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000046 |  5744 | 062/HAT-062-0000046-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000059 |  5751 | 062/HAT-062-0000059-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000091 | 23953 | 062/HAT-062-0000091-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000120 |  2284 | 062/HAT-062-0000120-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000182 |  5554 | 062/HAT-062-0000182-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-062-0000213 |   197 | 062/HAT-062-0000213-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
